full_permit_number,permit_details_url,plan_doc_name,address,contractor
OSPE-26002174,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OSPE-26002174,SPAD-0614737,3140 E MONTE VISTA RD,CACTUS MECHANICAL INC
F177-2600533,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F177-2600533,FPPR-260021,11628 S WARCLOUD CT,JMAX MECHANICAL LLC
OE-26001168,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OE-26001168,,4219 N 62ND ST,HARRIS MECHANICAL SOUTHWEST
SM-26001011,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=SM-26001011,LPRM-2507267,8849 N 7TH ST,ARROWHEAD SUPERIOR REFRIGERATION SERVICE LLC
ELEC-26001008,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=ELEC-26001008,LPRM-2506188,1934 E ADAMS ST,MASON MECHANICAL
OSME-26000605,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OSME-26000605,,4511 E CACTUS RD,SYNERGY MECHANICAL LLC
F176-2600146,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F176-2600146,FPPR-251218,12237 N 59TH ST,JMAX MECHANICAL LLC
PLMB-26000020,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=PLMB-26000020,LPRM-2506757,4111 E CHANDLER BLVD,AS PLUMBING & MECHANICAL INC.
