permit_type_code,permit_id,full_permit_number,permit_details_url,merged_permit_ids,address,city,issue_date,project_type,valuation,contractor,plan_doc_name,key_scope_terms,priority,reason
CGD,26001860,CGD-26001860,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CGD-26001860,CGD-26001860,1500 N CENTRAL AVE,PHOENIX,2/6/2026 10:35:57 AM,Commercial,0.00,MIDWEST CONTRACTING INC,CPGD-2501384,,Trash,no_hvac_signal
CCO,26001861,CCO-26001861,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CCO-26001861,CCO-26001861,1500 N CENTRAL AVE,PHOENIX,2/6/2026 10:35:57 AM,Commercial,0.00,MIDWEST CONTRACTING INC,CPGD-2501384,,Trash,no_hvac_signal
F193,2600479,F193-2600479,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F193-2600479,F193-2600479,5025 W DAHLIA DR,PHOENIX,2/6/2026 10:34:32 AM,Commercial,0.00,FREEDOM FOREVER ARIZONA LLC,SPAD-1406147,,Trash,no_hvac_signal
F129,26001859,F129-26001859,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F129-26001859,F129-26001859,755 E WILLETTA ST,PHOENIX,2/6/2026 10:28:13 AM,Commercial,0.00,JOHNSON CONTROLS INC.,FPPD-260107,,Trash,no_hvac_signal
LPSG,260127,LPSG-260127,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPSG-260127,LPSG-260127,2200 W NORTHERN AVE,PHOENIX,2/6/2026 10:25:01 AM,Commercial,0.00,WESTERN SIGNS AND LIGHTING L L C,,,Trash,negative=lighting
OP,26001858,OP-26001858,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OP-26001858,OP-26001858,6240 N 13TH PL,PHOENIX,2/6/2026 10:24:17 AM,Commercial,7800.00,"MUSTANG PLUMBING & ROOTER, INC",,,Trash,negative=plumb(?:ing)?
LPSG,260126,LPSG-260126,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPSG-260126,LPSG-260126,701 E BELL RD,PHOENIX,2/6/2026 10:14:32 AM,Residential,8500.00,GLOBAL SIGN WORKS G S W L L C,,,Trash,negative=sign
OE,26001856,OE-26001856,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OE-26001856,OE-26001856,1830 W GLENROSA AVE,PHOENIX,2/6/2026 10:14:16 AM,Commercial,15000.00,PORTER CONSTRUCTION CO INC,SPAD-0711208,,Trash,no_hvac_signal
F809,26001855,F809-26001855,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F809-26001855,F809-26001855,2965 W DOVE VALLEY RD,PHOENIX,2/6/2026 10:10:05 AM,Commercial,350000.00,TROJAN FIRE PROTECTION LLC,BLD-25014666,,Trash,negative=fire
F809,26001855,F809-26001855,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F809-26001855,F809-26001855,2965 W DOVE VALLEY RD,PHOENIX,2/6/2026 10:10:05 AM,Commercial,350000.00,TROJAN FIRE PROTECTION LLC,BLD-25014666,,Trash,negative=fire
AMND,99-35195,AMND-99-35195,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=AMND-99-35195,AMND-99-35195,,PHOENIX,2/6/2026 10:07:19 AM,Residential,0.00,TO BE BID,,,Trash,no_hvac_signal
F226,2600477,F226-2600477,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F226-2600477,F226-2600477,2650 W THUNDERBIRD RD,PHOENIX,2/6/2026 9:59:37 AM,Commercial,0.00,AMERIGAS PROPANE,FPPR-251287,,Trash,no_hvac_signal
WSSD,26001853,WSSD-26001853,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=WSSD-26001853,WSSD-26001853,801 N 44TH AVE,PHOENIX,2/6/2026 9:43:00 AM,Commercial,0.00,ALLIED FIRE PROTECTION,SPAD-0209473,,Trash,negative=fire
FPPR,260093,FPPR-260093,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPR-260093,FPPR-260093,8185 S 63RD AVE,PHOENIX,2/6/2026 9:32:23 AM,Commercial,0.00,COMMERCIAL SOLAR ARIZONA LLC,SPAD-2500393,,Trash,negative=solar(?: pv)?
FPPR,260094,FPPR-260094,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPR-260094,FPPR-260094,8145 S 63RD AVE,PHOENIX,2/6/2026 9:32:23 AM,Commercial,0.00,COMMERCIAL SOLAR ARIZONA LLC,SPAD-2500393,,Trash,negative=solar(?: pv)?
LPRM,2600680,LPRM-2600680,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRM-2600680,LPRM-2600680,4636 N 32ND ST,PHOENIX,2/6/2026 9:19:32 AM,Commercial,28900.61,SKYLINE STEEL INC,,,Trash,no_hvac_signal
BLD,26001851,BLD-26001851,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=BLD-26001851,BLD-26001851,32300 N 51ST AVE,PHOENIX,2/6/2026 9:16:36 AM,Commercial,28500000.00,SUNDT CONSTRUCTION,PHAS-2502424-03,,Trash,no_hvac_signal
BLD,26001851,BLD-26001851,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=BLD-26001851,BLD-26001851,32300 N 51ST AVE,PHOENIX,2/6/2026 9:16:36 AM,Commercial,28500000.00,SUNDT CONSTRUCTION,PHAS-2502424-03,,Trash,no_hvac_signal
DEM,26001849,DEM-26001849,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=DEM-26001849,DEM-26001849,3133 E CAMELBACK RD,PHOENIX,2/6/2026 9:05:42 AM,Commercial,24808.00,KENNEDY DESIGN BUILD,SPAD-1802997,,Trash,no_hvac_signal
CES,26001848,CES-26001848,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CES-26001848,CES-26001848,2828 W THUNDERBIRD RD,PHOENIX,2/6/2026 8:57:16 AM,Commercial,0.00,"WESTERN UNDERGROUND, INC.",LSPL-2504390,,Trash,no_hvac_signal
LPRR,2600678,LPRR-2600678,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRR-2600678,LPRR-2600678,1122 S 67TH AVE,PHOENIX,2/6/2026 8:37:39 AM,Commercial,16320.00,DECCA COMMERCIAL BUILDERS INC,,,Trash,no_hvac_signal
FPPD,260202,FPPD-260202,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260202,FPPD-260202,5514 N MARION WAY,PHOENIX,2/6/2026 8:27:10 AM,Residential,0.00,COURTNEY FIRE PROTECTION,,,Trash,negative=fire
ELEC,26001846,ELEC-26001846,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=ELEC-26001846,ELEC-26001846,32200 N 43RD AVE,PHOENIX,2/6/2026 8:14:04 AM,Commercial,224000.00,2000 GOLD LLC,PHAS-2204068-18,,Trash,no_hvac_signal
ELEC,26001846,ELEC-26001846,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=ELEC-26001846,ELEC-26001846,32200 N 43RD AVE,PHOENIX,2/6/2026 8:14:04 AM,Commercial,224000.00,2000 GOLD LLC,PHAS-2204068-18,,Trash,no_hvac_signal
F875,26001845,F875-26001845,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F875-26001845,F875-26001845,21001 N TATUM BLVD,PHOENIX,2/6/2026 8:11:56 AM,Commercial,0.00,EVERON LLC,,,Trash,no_hvac_signal
RPV,26001843,RPV-26001843,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPV-26001843,RPV-26001843,4734 W WALTANN LN,PHOENIX,2/6/2026 8:03:02 AM,Commercial,38610.00,EMPOWER ELECTRIC INC,SPAD-2300881,,Trash,no_hvac_signal
F800,2600474,F800-2600474,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F800-2600474,F800-2600474,1724 W CITRUS WAY,PHOENIX,2/6/2026 7:55:45 AM,Commercial,0.00,CAPITAL ENERGY LLC,SPAD-1907823,,Trash,no_hvac_signal
F800,2600473,F800-2600473,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F800-2600473,F800-2600473,1106 W ESTES WAY,PHOENIX,2/6/2026 7:40:59 AM,Commercial,0.00,ICON POWER LLC,SPAD-2600158,,Trash,no_hvac_signal
FPPD,260201,FPPD-260201,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260201,FPPD-260201,4221 E RAYMOND ST,PHOENIX,2/6/2026 7:29:37 AM,Commercial,0.00,U S A FIRE PROTECTION,,,Trash,negative=fire
SGNP,215057,SGNP-215057,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=SGNP-215057,SGNP-215057,21037 N CAVE CREEK RD,PHOENIX,2/6/2026 12:00:00 AM,Commercial,0.00,ROYAL SIGN COMPANY,LPSG-260096,,Trash,negative=sign
SGNP,215058,SGNP-215058,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=SGNP-215058,SGNP-215058,21037 N CAVE CREEK RD,PHOENIX,2/6/2026 12:00:00 AM,Commercial,0.00,ROYAL SIGN COMPANY,LPSG-260096,,Trash,negative=sign
CLS,26001847,CLS-26001847,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CLS-26001847,CLS-26001847,2425 E CAMELBACK RD,PHOENIX,2/6/2026 12:00:00 AM,Commercial,0.00,CALIENTE LANDSCAPE AND IRRIGATION INC,LSPL-2503018,,Trash,no_hvac_signal
RPDR,2600690,RPDR-2600690,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPDR-2600690,RPDR-2600690,3230 W ROOSEVELT ST,PHOENIX,2/6/2026 12:00:00 AM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
RPDR,2600691,RPDR-2600691,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPDR-2600691,RPDR-2600691,3250 W ROOSEVELT ST,PHOENIX,2/6/2026 12:00:00 AM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
LPRN,2600673,LPRN-2600673,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRN-2600673,LPRN-2600673,1644 W SUNLAND AVE,PHOENIX,2/5/2026 6:53:11 PM,Commercial,2098980.00,RANAISANCE G.C. LLC,,,Trash,no_hvac_signal
ELEC,26001841,ELEC-26001841,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=ELEC-26001841,ELEC-26001841,731 E HEARN RD,PHOENIX,2/5/2026 5:30:02 PM,Commercial,30000.00,VR ELECTRICAL SERVICES LLC,LPRM-2600146,,Trash,no_hvac_signal
CUT,26001840,CUT-26001840,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CUT-26001840,CUT-26001840,215 N CENTRAL AVE,PHOENIX,2/5/2026 5:15:58 PM,Commercial,0.00,ADB COMPANIES LLC,SDEV-2500001,,Trash,no_hvac_signal
CUT,26001839,CUT-26001839,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CUT-26001839,CUT-26001839,281 E MCKINLEY ST,PHOENIX,2/5/2026 5:11:38 PM,Commercial,0.00,ADB COMPANIES LLC,SDEV-2500001,,Trash,no_hvac_signal
RPDR,2600671,RPDR-2600671,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPDR-2600671,RPDR-2600671,3937 E MONTEROSA ST,PHOENIX,2/5/2026 4:40:50 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
RPDR,2600672,RPDR-2600672,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPDR-2600672,RPDR-2600672,3933 E MONTEROSA ST,PHOENIX,2/5/2026 4:40:50 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
FPPD,260198,FPPD-260198,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260198,FPPD-260198,7409 W VIRGINIA AVE,PHOENIX,2/5/2026 4:27:28 PM,Residential,0.00,TO BE BID,,,Trash,no_hvac_signal
FPPD,260197,FPPD-260197,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260197,FPPD-260197,2635 E MAGNOLIA ST,PHOENIX,2/5/2026 4:25:16 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-0321168,,Trash,negative=fence
DSAP,26023,DSAP-26023,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=DSAP-26023,DSAP-26023,7024 N 3RD ST,PHOENIX,2/5/2026 4:24:29 PM,Residential,0.00,TO BE BID,,,Trash,no_hvac_signal
F800,2600471,F800-2600471,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F800-2600471,F800-2600471,5362 E HERRERA DR,PHOENIX,2/5/2026 4:07:33 PM,Residential,0.00,SOLAR TOPPS,SPAD-0114504,,Trash,negative=solar(?: pv)?
F227,2600470,F227-2600470,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F227-2600470,F227-2600470,1902 E LOMA LN,PHOENIX,2/5/2026 4:03:18 PM,Commercial,0.00,BRIGHT HOME INSTALLATIONS LLC,SPAD-0207324,,Trash,no_hvac_signal
CUT,26001837,CUT-26001837,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CUT-26001837,CUT-26001837,1211 E WINDSOR AVE,PHOENIX,2/5/2026 4:00:53 PM,Residential,0.00,THOMPSON L L C,SPAD-0203834,,Trash,no_hvac_signal
LPSG,260125,LPSG-260125,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPSG-260125,LPSG-260125,1580 W GARFIELD ST,PHOENIX,2/5/2026 4:00:47 PM,Commercial,4000.00,ASSOCIATED SIGN COMPANY,,,Trash,negative=sign
LPRR,2600670,LPRR-2600670,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRR-2600670,LPRR-2600670,8325 S CENTRAL AVE,PHOENIX,2/5/2026 3:55:50 PM,Commercial,20400.00,DECCA COMMERCIAL BUILDERS INC,,,Trash,no_hvac_signal
OE,26001836,OE-26001836,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OE-26001836,OE-26001836,1125 N 3RD ST,PHOENIX,2/5/2026 3:54:11 PM,Commercial,900.00,EOS BUILDERS LLC,SPAD-2201086,,Trash,no_hvac_signal
FPPD,260196,FPPD-260196,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260196,FPPD-260196,9020 W THOMAS RD,PHOENIX,2/5/2026 3:47:59 PM,Commercial,0.00,KO FIRE PROTECTION LLC,,,Trash,negative=fire
RPV,26001835,RPV-26001835,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPV-26001835,RPV-26001835,15238 S 37TH PL,PHOENIX,2/5/2026 3:44:19 PM,Commercial,34500.00,INTY SOLAR LLC,SPAD-2600137,,Trash,negative=solar(?: pv)?
F122,26001834,F122-26001834,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F122-26001834,F122-26001834,2775 W BRONCO BUTTE TRL,PHOENIX,2/5/2026 3:41:57 PM,Commercial,0.00,OLYMPIC WEST FIRE & SECURITY LLC,FPPD-260128,,Trash,negative=fire
F122,26001834,F122-26001834,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F122-26001834,F122-26001834,2775 W BRONCO BUTTE TRL,PHOENIX,2/5/2026 3:41:57 PM,Commercial,0.00,OLYMPIC WEST FIRE & SECURITY LLC,FPPD-260128,,Trash,negative=fire
DSAP,26021,DSAP-26021,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=DSAP-26021,DSAP-26021,102 S 9TH AVE,PHOENIX,2/5/2026 3:33:39 PM,Residential,0.00,CORE CONSTRUCTION SERVICES OF AZ,,,Trash,no_hvac_signal
DSAP,26022,DSAP-26022,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=DSAP-26022,DSAP-26022,102 S 9TH AVE,PHOENIX,2/5/2026 3:33:39 PM,Residential,0.00,CORE CONSTRUCTION SERVICES OF AZ,,,Trash,no_hvac_signal
RPV,26001833,RPV-26001833,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPV-26001833,RPV-26001833,5133 E JUSTICA ST,PHOENIX,2/5/2026 3:32:23 PM,Commercial,34500.00,INTY SOLAR LLC,SPAD-2600153,,Trash,negative=solar(?: pv)?
F193,2600469,F193-2600469,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F193-2600469,F193-2600469,3761 E MARMORA ST,PHOENIX,2/5/2026 3:19:15 PM,Residential,0.00,SOLAR TOPPS,SPAD-2600161,,Trash,negative=solar(?: pv)?
F157,26001832,F157-26001832,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26001832,F157-26001832,4839 W SOUTHERN AVE,PHOENIX,2/5/2026 3:16:26 PM,Commercial,0.00,"JSQUARED CONSTRUCTION AND DESIGN, LLC",FPPD-260117,,Trash,no_hvac_signal
CLS,26001831,CLS-26001831,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CLS-26001831,CLS-26001831,9725 W INDIAN SCHOOL RD,PHOENIX,2/5/2026 3:14:14 PM,Commercial,0.00,HASHKNIFE HOTSHOTS LLC,LSPL-2403515,,Trash,no_hvac_signal
OP,26001830,OP-26001830,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OP-26001830,OP-26001830,3730 N 97TH AVE,PHOENIX,2/5/2026 3:07:14 PM,Commercial,0.00,CRIMSON COMMERCIAL LLC,CCPH-2400243,,Trash,no_hvac_signal
DEM,26001829,DEM-26001829,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=DEM-26001829,DEM-26001829,2727 E WASHINGTON ST,PHOENIX,2/5/2026 2:58:41 PM,Commercial,315000.00,OCM LLC,SPAD-0504231,,Trash,no_hvac_signal
F481,26001828,F481-26001828,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F481-26001828,F481-26001828,12770 N TATUM BLVD,PHOENIX,2/5/2026 2:54:14 PM,Commercial,0.00,ALEXANDER BUILDING COMPANY INC,FPPD-260142,,Trash,no_hvac_signal
FPPD,260195,FPPD-260195,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260195,FPPD-260195,822 E UNION HILLS DR,PHOENIX,2/5/2026 2:53:10 PM,Commercial,0.00,METRO VALLEY SYSTEMS LLC,,,Trash,no_hvac_signal
F227,2600467,F227-2600467,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F227-2600467,F227-2600467,413 W KRISTAL WAY,PHOENIX,2/5/2026 2:52:35 PM,Commercial,0.00,SOUTHFACE ENERGY LLC,SPAD-2016177,,Trash,no_hvac_signal
AMND,98-5944A3,AMND-98-5944A3,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=AMND-98-5944A3,AMND-98-5944A3,3149 E CHANDLER BLVD,PHOENIX,2/5/2026 2:46:26 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
OE,26001827,OE-26001827,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OE-26001827,OE-26001827,8787 W BUCKEYE RD,PHOENIX,2/5/2026 2:39:35 PM,Commercial,725000.00,GEMCO CONSTRUCTORS LLC,,,Trash,no_hvac_signal
RPDR,2600669,RPDR-2600669,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPDR-2600669,RPDR-2600669,3941 E MONTEROSA ST,PHOENIX,2/5/2026 2:28:47 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
F800,2600466,F800-2600466,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F800-2600466,F800-2600466,20905 N 38TH ST,PHOENIX,2/5/2026 2:27:28 PM,Commercial,0.00,CAPITAL ENERGY LLC,SPAD-2002907,,Trash,no_hvac_signal
CES,26001822,CES-26001822,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CES-26001822,CES-26001822,28245 N 24TH ST,PHOENIX,2/5/2026 2:21:23 PM,Commercial,0.00,NATIVE RESOURCES INTERNATIONAL INC,LSAL-2501549,,Trash,no_hvac_signal
CES,26001822,CES-26001822,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CES-26001822,CES-26001822,28245 N 24TH ST,PHOENIX,2/5/2026 2:21:23 PM,Commercial,0.00,NATIVE RESOURCES INTERNATIONAL INC,LSAL-2501549,,Trash,no_hvac_signal
FPPD,260194,FPPD-260194,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260194,FPPD-260194,42212 N 41ST DR,PHOENIX,2/5/2026 2:17:09 PM,Commercial,0.00,TITAN LANDSCAPE SERVICES LLC,,,Trash,no_hvac_signal
OP,26001821,OP-26001821,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OP-26001821,OP-26001821,5720 W JEFFERSON ST,PHOENIX,2/5/2026 1:54:00 PM,Commercial,3925.00,FERRELL GAS,SPAD-0117844,,Trash,no_hvac_signal
WSSD,26001820,WSSD-26001820,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=WSSD-26001820,WSSD-26001820,2040 W DEER VALLEY DR,PHOENIX,2/5/2026 1:42:17 PM,Residential,0.00,ABRIGO FIRE PROTECTION,SDEV-2600005,,Trash,negative=fire
F802,26001819,F802-26001819,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F802-26001819,F802-26001819,7243 N 16TH ST,PHOENIX,2/5/2026 1:38:26 PM,Commercial,0.00,VALLEY FIRE SPRINKLER INC,,,Trash,negative=fire|sprinkler
LPSG,260124,LPSG-260124,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPSG-260124,LPSG-260124,3838 E VAN BUREN ST,PHOENIX,2/5/2026 1:28:43 PM,Commercial,10000.00,ABOVE ALL SIGNS LLC,,,Trash,no_hvac_signal
LPRM,2600667,LPRM-2600667,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRM-2600667,LPRM-2600667,1786 N 79TH DR,PHOENIX,2/5/2026 1:21:18 PM,Commercial,39176.00,AGAVE ENVIRONMENTAL CONTRACTIN,,,Trash,no_hvac_signal
CPHG,2600666,CPHG-2600666,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CPHG-2600666,CPHG-2600666,3625 W MULHOLLAND DR,PHOENIX,2/5/2026 1:15:45 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
S,26001818,S-26001818,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=S-26001818,S-26001818,10000 N 31ST AVE,PHOENIX,2/5/2026 12:55:10 PM,Commercial,5000.00,PACIFIC NETWORK SOLUTIONS CONSTRUCTION LLC,LPRM-2600037,,Trash,no_hvac_signal
LPRM,2600665,LPRM-2600665,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRM-2600665,LPRM-2600665,303 E BASELINE RD,PHOENIX,2/5/2026 12:55:10 PM,Commercial,5000.00,NORTHSTAR COMMUNICATIONS INC,,,Trash,no_hvac_signal
CFB,26001817,CFB-26001817,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CFB-26001817,CFB-26001817,2402 W BEARDSLEY RD,PHOENIX,2/5/2026 12:41:30 PM,Commercial,0.00,B & F CONTRACTING,CPFL-2504208,,Trash,no_hvac_signal
FPPD,260191,FPPD-260191,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260191,FPPD-260191,3990 N 93RD AVE,PHOENIX,2/5/2026 12:40:51 PM,Residential,0.00,OLYMPIC WEST FIRE PROTECTION,,,Trash,negative=fire
FPPD,260192,FPPD-260192,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260192,FPPD-260192,3510 N 93RD AVE,PHOENIX,2/5/2026 12:40:51 PM,Residential,0.00,OLYMPIC WEST FIRE PROTECTION,,,Trash,negative=fire
FPPD,260193,FPPD-260193,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260193,FPPD-260193,3510 N 93RD AVE,PHOENIX,2/5/2026 12:40:51 PM,Residential,0.00,OLYMPIC WEST FIRE PROTECTION,,,Trash,negative=fire
FPPD,260190,FPPD-260190,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260190,FPPD-260190,4066 N 93RD AVE,PHOENIX,2/5/2026 12:37:42 PM,Residential,0.00,OLYMPIC WEST FIRE PROTECTION,,,Trash,negative=fire
BLD,26001816,BLD-26001816,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=BLD-26001816,BLD-26001816,1314 W CAMELBACK RD,PHOENIX,2/5/2026 12:33:44 PM,Commercial,48000.00,ARIZONA TOTAL HOME RESTORATION LLC,LPBI-2600433,,Trash,no_hvac_signal
FPPD,260189,FPPD-260189,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260189,FPPD-260189,13440 N SCOTTSDALE RD,PHOENIX,2/5/2026 12:07:29 PM,Commercial,0.00,H.D.C. FIRE PROTECTION LLC,,,Trash,negative=fire
CSLC,26001814,CSLC-26001814,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CSLC-26001814,CSLC-26001814,5111 E PRESIDIO RD,PHOENIX,2/5/2026 11:55:19 AM,Commercial,0.00,MN CUSTOM HOMES AZ LLC,CRSC-2600472,,Trash,no_hvac_signal
F802,26001813,F802-26001813,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F802-26001813,F802-26001813,625 N 6TH ST,PHOENIX,2/5/2026 11:54:26 AM,Commercial,0.00,HILLER COMPANIES INC (THE),,,Trash,no_hvac_signal
F810,2600462,F810-2600462,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F810-2600462,F810-2600462,1975 S 99TH AVE,PHOENIX,2/5/2026 11:51:09 AM,Commercial,0.00,API GROUP LIFE SAFETY USA LLC,SPAD-2206463,,Trash,no_hvac_signal
CLS,26001812,CLS-26001812,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CLS-26001812,CLS-26001812,,PHOENIX,2/5/2026 11:38:33 AM,Commercial,0.00,DEVCO DIRTWORKS LLC,LSPL-2203245,,Trash,no_hvac_signal
CWT,26001811,CWT-26001811,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CWT-26001811,CWT-26001811,2625 W HAZEL DR,PHOENIX,2/5/2026 11:37:13 AM,Commercial,1.00,DEVCO DIRTWORKS LLC,CPWT-2505021,,Trash,no_hvac_signal
F875,26001809,F875-26001809,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F875-26001809,F875-26001809,645 E MISSOURI AVE,PHOENIX,2/5/2026 11:27:07 AM,Commercial,0.00,IMPACT FIRE SERVICES LLC,,,Trash,negative=fire
F805,26001808,F805-26001808,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F805-26001808,F805-26001808,11024 N 28TH DR,PHOENIX,2/5/2026 11:26:01 AM,Residential,0.00,A D T SECURITY SYSTEMS,SPAD-0205739,,Trash,no_hvac_signal
F802,26001805,F802-26001805,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F802-26001805,F802-26001805,3875 W ADAMS ST,PHOENIX,2/5/2026 11:19:24 AM,Commercial,0.00,TITAN ALARM INC,,,Trash,negative=alarm
