permit_type_code,permit_id,full_permit_number,permit_details_url,merged_permit_ids,address,city,issue_date,project_type,valuation,contractor,plan_doc_name,key_scope_terms,priority,reason
F157,26002070,F157-26002070,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26002070,F157-26002070,950 N 31ST ST,PHOENIX,2/9/2026 3:32:26 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503742,,Trash,negative=fence
BLD,26002069,BLD-26002069,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=BLD-26002069,BLD-26002069,601 W HATCHER RD,PHOENIX,2/9/2026 3:31:47 PM,Commercial,1327448.60,SUN VALLEY GENERAL CONTRACTORS LLC,LPRN-2500166,,Trash,no_hvac_signal
FEN,26002068,FEN-26002068,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002068,FEN-26002068,1910 W LUKE AVE,PHOENIX,2/9/2026 3:27:42 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503750,,Trash,negative=fence
FEN,26002067,FEN-26002067,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002067,FEN-26002067,8432 S 1ST AVE,PHOENIX,2/9/2026 3:27:31 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503755,,Trash,negative=fence
FEN,26002066,FEN-26002066,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002066,FEN-26002066,8431 S 2ND AVE,PHOENIX,2/9/2026 3:27:21 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503754,,Trash,negative=fence
FEN,26002065,FEN-26002065,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002065,FEN-26002065,1301 N LAUREL AVE,PHOENIX,2/9/2026 3:27:07 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503749,,Trash,negative=fence
LPSG,260131,LPSG-260131,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPSG-260131,LPSG-260131,2039 W GLENDALE AVE,PHOENIX,2/9/2026 3:26:35 PM,Commercial,475.00,NIGHT N DAY SIGNS LLC,,,Trash,no_hvac_signal
CPGD,2600736,CPGD-2600736,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CPGD-2600736,CPGD-2600736,7044 E ANN WAY,PHOENIX,2/9/2026 3:23:16 PM,Commercial,1.00,EDG BUILDERS LLC,,,Trash,no_hvac_signal
FEN,26002064,FEN-26002064,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002064,FEN-26002064,1300 N 15TH AVE,PHOENIX,2/9/2026 3:22:58 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503748,,Trash,negative=fence
FEN,26002063,FEN-26002063,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002063,FEN-26002063,1010 N 9TH ST,PHOENIX,2/9/2026 3:22:45 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503745,,Trash,negative=fence
FEN,26002062,FEN-26002062,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002062,FEN-26002062,757 E PORTLAND ST,PHOENIX,2/9/2026 3:22:34 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503744,,Trash,negative=fence
FEN,26002061,FEN-26002061,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002061,FEN-26002061,950 N 31ST ST,PHOENIX,2/9/2026 3:22:20 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503742,,Trash,negative=fence
F157,26002060,F157-26002060,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26002060,F157-26002060,951 N 30TH ST,PHOENIX,2/9/2026 3:17:38 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503741,,Trash,negative=fence
F157,26002059,F157-26002059,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26002059,F157-26002059,2913 E MONTE VISTA RD,PHOENIX,2/9/2026 3:17:26 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503747,,Trash,negative=fence
F157,26002058,F157-26002058,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26002058,F157-26002058,2912 E PALM LN,PHOENIX,2/9/2026 3:17:10 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503746,,Trash,negative=fence
F157,26002057,F157-26002057,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26002057,F157-26002057,1911 E NANCY LN,PHOENIX,2/9/2026 3:12:57 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503740,,Trash,negative=fence
F157,26002056,F157-26002056,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26002056,F157-26002056,8040 N 35TH AVE,PHOENIX,2/9/2026 3:12:45 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503910,,Trash,negative=fence
F157,26002055,F157-26002055,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26002055,F157-26002055,3556 W LOMA LN,PHOENIX,2/9/2026 3:12:34 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503909,,Trash,negative=fence
F157,26002054,F157-26002054,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F157-26002054,F157-26002054,516 N 31ST AVE,PHOENIX,2/9/2026 3:12:21 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503735,,Trash,negative=fence
SGNP,215084,SGNP-215084,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=SGNP-215084,SGNP-215084,7730 S 59TH AVE,PHOENIX,2/9/2026 3:11:28 PM,Commercial,9400.00,SUMMIT WEST SIGNS,LPSG-260008,,Trash,no_hvac_signal
FEN,26002053,FEN-26002053,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002053,FEN-26002053,951 N 30TH ST,PHOENIX,2/9/2026 3:07:05 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503741,,Trash,negative=fence
FEN,26002052,FEN-26002052,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002052,FEN-26002052,2913 E MONTE VISTA RD,PHOENIX,2/9/2026 3:06:53 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503747,,Trash,negative=fence
FEN,26002051,FEN-26002051,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002051,FEN-26002051,2912 E PALM LN,PHOENIX,2/9/2026 3:06:41 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503746,,Trash,negative=fence
FEN,26002050,FEN-26002050,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002050,FEN-26002050,1911 E NANCY LN,PHOENIX,2/9/2026 3:02:44 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503740,,Trash,negative=fence
FEN,26002049,FEN-26002049,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002049,FEN-26002049,8040 N 35TH AVE,PHOENIX,2/9/2026 3:02:31 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503910,,Trash,negative=fence
FEN,26002048,FEN-26002048,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002048,FEN-26002048,3556 W LOMA LN,PHOENIX,2/9/2026 3:02:20 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503909,,Trash,negative=fence
FEN,26002047,FEN-26002047,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FEN-26002047,FEN-26002047,516 N 31ST AVE,PHOENIX,2/9/2026 3:02:07 PM,Commercial,0.00,WESTERN FENCE CO INC,SPAD-2503735,,Trash,negative=fence
LPRD,2502983-01,LPRD-2502983-01,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRD-2502983-01,LPRD-2502983-01,5248 W INDIAN SCHOOL RD,PHOENIX,2/9/2026 2:58:59 PM,Commercial,2500.00,TO BE BID,,,Trash,no_hvac_signal
WSFT,26002045,WSFT-26002045,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=WSFT-26002045,WSFT-26002045,1801 S 12TH ST,PHOENIX,2/9/2026 2:57:14 PM,Residential,0.00,OWNER,SPAD-0014747,,Trash,no_hvac_signal
OP,26002044,OP-26002044,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OP-26002044,OP-26002044,1808 E SHERIDAN ST,PHOENIX,2/9/2026 2:52:13 PM,Commercial,1500.00,ADAMEX CONSTRUCTION LLC,SPAD-2600170,,Trash,no_hvac_signal
ELEC,26002043,ELEC-26002043,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=ELEC-26002043,ELEC-26002043,7227 S CENTRAL AVE,PHOENIX,2/9/2026 2:43:48 PM,Commercial,55000.00,MASTEC NETWORK SOLUTIONS LLC,LPRM-2506395,,Trash,no_hvac_signal
F809,26002042,F809-26002042,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F809-26002042,F809-26002042,9820 W INDIAN SCHOOL RD,PHOENIX,2/9/2026 2:43:27 PM,Commercial,0.00,KO FIRE PROTECTION LLC,,,Trash,negative=fire
F227,2600513,F227-2600513,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F227-2600513,F227-2600513,6442 W CAVEDALE DR,PHOENIX,2/9/2026 2:40:27 PM,Commercial,0.00,SUNSOLAR SOLUTIONS INC,SPAD-0216746,,Trash,no_hvac_signal
WSFT,26002041,WSFT-26002041,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=WSFT-26002041,WSFT-26002041,2328 N 52ND ST,PHOENIX,2/9/2026 2:33:03 PM,Commercial,0.00,SAGUARO FIRE PROTECTION LLC,CCPH-2400385,,Trash,negative=fire
CPFL,2600734,CPFL-2600734,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=CPFL-2600734,CPFL-2600734,13229 S 48TH ST,PHOENIX,2/9/2026 2:18:11 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
WSFT,26002040,WSFT-26002040,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=WSFT-26002040,WSFT-26002040,4121 E COTTON CENTER BLVD,PHOENIX,2/9/2026 2:15:39 PM,Commercial,0.00,OWNER,SPAD-0213431,,Trash,no_hvac_signal
LPRM,2600733,LPRM-2600733,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRM-2600733,LPRM-2600733,4034 E MCDOWELL RD,PHOENIX,2/9/2026 2:11:17 PM,Commercial,207900.00,WATT MASTERS LLC,,,Trash,no_hvac_signal
LSIS,2600731,LSIS-2600731,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LSIS-2600731,LSIS-2600731,3024 E WINCHCOMB DR,PHOENIX,2/9/2026 2:03:35 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
LSPL,2600732,LSPL-2600732,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LSPL-2600732,LSPL-2600732,3024 E WINCHCOMB DR,PHOENIX,2/9/2026 2:03:35 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
LSPX,2600730,LSPX-2600730,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LSPX-2600730,LSPX-2600730,3939 W CAREFREE HWY,PHOENIX,2/9/2026 1:55:06 PM,Commercial,0.00,TO BE BID,,,Trash,no_hvac_signal
F132,26002039,F132-26002039,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F132-26002039,F132-26002039,4124 N 22ND DR,PHOENIX,2/9/2026 1:42:49 PM,Commercial,0.00,ALLIED FIRE PROTECTION,FPPD-252635,,Trash,negative=fire
