permit_type_code,permit_id,full_permit_number,permit_details_url,merged_permit_ids,address,city,issue_date,project_type,valuation,contractor,plan_doc_name,key_scope_terms,priority,reason
WSSD,26001780,WSSD-26001780,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=WSSD-26001780,WSSD-26001780,3045 S 46TH ST,PHOENIX,2/4/2026 6:42:24 PM,Residential,0.00,METRO FIRE EQ,SPAD-1805123,goodman,Medium Priority - Review,mixed_negative=fire
FPPD,260177,FPPD-260177,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260177,FPPD-260177,650 E PINNACLE PEAK RD,PHOENIX,2/3/2026 8:57:36 AM,Residential,0.00,YORK WAREHOUSE EQUIPMENT ERECT,,york,Medium Priority - Review,brand_only
FPPD,260165,FPPD-260165,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260165,FPPD-260165,33 W PINNACLE PEAK RD,PHOENIX,1/30/2026 9:15:10 AM,Commercial,0.00,YORK EQUIPMENT ERECTORS,,york,Medium Priority - Review,brand_only
TCO,26001109,TCO-26001109,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=TCO-26001109,TCO-26001109,6800 W LATHAM ST,PHOENIX,1/26/2026 8:29:59 AM,Commercial,1900000.00,ANCOR INC OF NEW YORK (FN),BLD-24004502,york,Medium Priority - Review,brand_only
LPRR,2600314,LPRR-2600314,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRR-2600314,LPRR-2600314,1607 W BETHANY HOME RD,PHOENIX,1/20/2026 10:18:27 AM,Commercial,282153.60,TBD A/C & HEATING,,a\/?c\.?,HVAC Review - Secondary Hook,secondary_hook
LPRN,2600281,LPRN-2600281,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRN-2600281,LPRN-2600281,720 E GREENWAY PKWY,PHOENIX,1/16/2026 1:30:04 PM,Commercial,3300000.00,TO BE BID,,a\/?c\.?,HVAC Review - Secondary Hook,secondary_hook
S,26000238,S-26000238,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=S-26000238,S-26000238,8911 N 7TH ST,PHOENIX,1/7/2026 2:19:09 PM,Commercial,40000.00,TBD A/C & HEATING,LPRM-2506898,a\/?c\.?,HVAC Review - Secondary Hook,secondary_hook
