permit_type_code,permit_id,full_permit_number,permit_details_url,merged_permit_ids,address,city,issue_date,project_type,valuation,contractor,plan_doc_name,key_scope_terms,priority,reason
OSPE,26002174,OSPE-26002174,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OSPE-26002174,OSPE-26002174,3140 E MONTE VISTA RD,PHOENIX,2/10/2026 3:56:31 PM,Commercial,100000.00,CACTUS MECHANICAL INC,SPAD-0614737,mechanical,High Priority,tier_a
F177,2600533,F177-2600533,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F177-2600533,F177-2600533|FPPR-260021,11628 S WARCLOUD CT,PHOENIX,2/10/2026 1:58:20 PM,Commercial,0.00,JMAX MECHANICAL LLC,FPPR-260021,mechanical,High Priority,tier_a
OE,26001168,OE-26001168,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OE-26001168,OE-26001168,4219 N 62ND ST,PHOENIX,1/26/2026 12:59:01 PM,Residential,2400.00,HARRIS MECHANICAL SOUTHWEST,,mechanical,High Priority,tier_a
SM,26001011,SM-26001011,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=SM-26001011,SM-26001011,8849 N 7TH ST,PHOENIX,1/22/2026 2:40:44 PM,Commercial,20000.00,ARROWHEAD SUPERIOR REFRIGERATION SERVICE LLC,LPRM-2507267,refrigeration,High Priority,tier_a
ELEC,26001008,ELEC-26001008,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=ELEC-26001008,ELEC-26001008,1934 E ADAMS ST,PHOENIX,1/22/2026 2:13:27 PM,Commercial,46000.00,MASON MECHANICAL,LPRM-2506188,mechanical,High Priority,tier_a
OSME,26000605,OSME-26000605,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=OSME-26000605,OSME-26000605,4511 E CACTUS RD,PHOENIX,1/14/2026 9:44:28 AM,Commercial,12750.00,SYNERGY MECHANICAL LLC,,mechanical,High Priority,tier_a
F176,2600146,F176-2600146,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F176-2600146,F176-2600146,12237 N 59TH ST,PHOENIX,1/12/2026 12:52:06 PM,Commercial,0.00,JMAX MECHANICAL LLC,FPPR-251218,mechanical,High Priority,tier_a
PLMB,26000020,PLMB-26000020,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=PLMB-26000020,PLMB-26000020,4111 E CHANDLER BLVD,PHOENIX,1/2/2026 2:57:03 PM,Commercial,10000.00,AS PLUMBING & MECHANICAL INC.,LPRM-2506757,mechanical|valuation_4000_15000,Likely Residential Change-out,tier_c
